Date,Close,Predicted_Close
2022-03-28,282.190002,265.54077
2022-03-29,286.559998,268.69177
2022-03-30,276.899994,277.61978
2022-03-31,272.859985,277.191
2022-04-01,267.119995,278.24173
2022-04-04,273.600006,276.38412
2022-04-05,259.309998,271.06296
2022-04-06,244.070007,267.63342
2022-04-07,242.080002,263.62668
2022-04-08,231.190002,259.2739
2022-04-11,219.169998,248.1526
2022-04-12,215.039993,238.71185
2022-04-13,222.029999,232.60541
2022-04-14,212.580002,224.48695
2022-04-18,217.830002,219.03865
2022-04-19,221.979996,218.27122
2022-04-20,214.820007,219.46967
2022-04-21,201.830002,216.95644
2022-04-22,195.149994,217.7043
2022-04-25,199.020004,214.52856
2022-04-26,187.880005,206.69676
2022-04-27,184.149994,199.04219
2022-04-28,197.820007,195.4446
2022-04-29,185.470001,193.96532
2022-05-02,195.330002,189.90472
2022-05-03,196.020004,191.0403
2022-05-04,203.339996,195.09747
2022-05-05,188.440002,193.27495
2022-05-06,186.75,197.51839
2022-05-09,169.5,196.66
2022-05-10,175.949997,193.65431
2022-05-11,166.300003,184.15633
2022-05-12,161.75,178.53987
2022-05-13,177.059998,171.47313
2022-05-16,172.639999,171.71298
2022-05-17,181.770004,168.9528
2022-05-18,169.380005,171.27965
2022-05-19,171.240005,177.00124
2022-05-20,166.940002,175.65607
2022-05-23,168.979996,175.80934
2022-05-24,161.539993,170.36508
2022-05-25,169.75,169.79692
2022-05-26,178.509995,168.19652
2022-05-27,188.110001,169.36885
2022-05-31,186.720001,171.11397
2022-06-01,183.199997,178.70204
2022-06-02,195.919998,184.9782
2022-06-03,187.199997,188.80986
2022-06-06,187.860001,188.75226
2022-06-07,189.259995,189.56122
2022-06-08,186.479996,192.42856
2022-06-09,180.479996,188.85959
2022-06-10,169.740005,188.23059
2022-06-13,156.470001,185.60806
2022-06-14,158.360001,179.60413
2022-06-15,165.270004,171.83333
2022-06-16,156.009995,164.0723
2022-06-17,158.800003,159.55856
2022-06-21,165.660004,161.15533
2022-06-22,163.600006,162.36627
2022-06-23,162.25,160.33073
2022-06-24,171.259995,163.29903
2022-06-27,168.690002,166.05644
2022-06-28,159.820007,165.97176
2022-06-29,155.419998,166.72128
2022-06-30,151.589996,167.63795
2022-07-01,145.229996,162.60449
2022-07-05,149.639999,156.40416
2022-07-06,151.300003,152.67073
2022-07-07,158.580002,150.29121
2022-07-08,158.380005,149.8589
2022-07-11,151.520004,153.35487
2022-07-12,150.820007,155.57278
2022-07-13,151.639999,157.29616
2022-07-14,153.720001,155.1612
2022-07-15,157.619995,152.48651
2022-07-18,161.009995,153.24994
2022-07-19,169.919998,155.46819
2022-07-20,178.070007,159.14088
2022-07-21,180.5,164.22107
2022-07-22,173.190002,169.82246
2022-07-25,170.240005,175.70604
2022-07-26,165.330002,178.11552
2022-07-27,177.899994,176.32109
2022-07-28,179.839996,172.6464
2022-07-29,181.630005,172.4636
2022-08-01,184.410004,174.7375
2022-08-02,185.259995,181.16719
2022-08-03,188.929993,183.187
2022-08-04,192.149994,185.32155
2022-08-05,189.889999,187.62201
2022-08-08,177.929993,189.12943
2022-08-09,170.860001,189.95294
2022-08-10,180.970001,188.097
2022-08-11,179.419998,183.18259
2022-08-12,187.089996,177.99873
2022-08-15,190.320007,178.53116
2022-08-16,188.789993,183.93544
2022-08-17,183.350006,185.87177
2022-08-18,187.729996,189.37108
2022-08-19,178.490005,189.4136
2022-08-22,170.339996,186.93689
2022-08-23,171.809998,183.61041
2022-08-24,172.220001,181.35674
2022-08-25,179.130005,175.55904
2022-08-26,162.600006,172.82884
2022-08-29,158.009995,173.24617
2022-08-30,154.679993,171.96783
2022-08-31,150.940002,168.7221
2022-09-01,139.369995,159.14908
2022-09-02,136.470001,154.44038
2022-09-06,134.649994,149.50526
2022-09-07,137.139999,143.84254
2022-09-08,139.899994,138.02676
2022-09-09,143.869995,137.05048
2022-09-12,145.050003,137.90439
2022-09-13,131.309998,140.25465
2022-09-14,131.279999,141.62154
2022-09-15,129.289993,141.10489
2022-09-16,131.979996,137.39378
2022-09-19,133.820007,131.47243
2022-09-20,131.759995,131.46114
2022-09-21,132.610001,131.59546
2022-09-22,125.610001,132.80609
2022-09-23,125.160004,132.50491
2022-09-26,122.279999,130.50159
2022-09-27,124.129997,128.49127
2022-09-28,127.360001,125.10661
2022-09-29,122.199997,124.539566
2022-09-30,121.389999,123.983116
2022-10-03,125.120003,124.82388
2022-10-04,131.669998,125.00388
2022-10-05,132.089996,123.825775
2022-10-06,131.300003,125.797195
2022-10-07,120.760002,129.07101
2022-10-10,116.699997,130.81331
2022-10-11,115.860001,128.47581
2022-10-12,115.0,124.17456
2022-10-13,119.599998,118.38255
2022-10-14,112.269997,116.46403
2022-10-17,118.879997,116.21631
2022-10-18,119.669998,116.48887
2022-10-19,120.510002,117.542946
2022-10-20,121.940002,116.64753
2022-10-21,124.660004,120.034355
2022-10-24,125.989998,121.14791
2022-10-25,132.610001,122.70811
2022-10-26,128.960007,124.84866
2022-10-27,131.759995,127.35506
2022-10-28,138.339996,129.64815
2022-10-31,134.970001,132.36565
2022-11-01,135.429993,132.56522
2022-11-02,132.190002,135.06322
2022-11-03,134.210007,136.70255
2022-11-04,141.559998,135.188
2022-11-07,143.009995,135.46402
2022-11-08,146.020004,136.23672
2022-11-09,137.759995,139.60497
2022-11-10,157.5,143.49596
2022-11-11,163.270004,145.39456
2022-11-14,162.949997,148.31001
2022-11-15,166.660004,151.85146
2022-11-16,159.100006,161.9867
2022-11-17,156.770004,164.27118
2022-11-18,154.089996,163.58618
2022-11-21,153.169998,162.20804
2022-11-22,160.380005,157.94104
2022-11-23,165.190002,156.75162
2022-11-25,162.699997,157.02327
2022-11-28,158.270004,159.3333
2022-11-29,156.389999,162.91478
2022-11-30,169.229996,163.56215
2022-12-01,171.350006,162.038
2022-12-02,168.759995,162.07794
2022-12-05,166.100006,165.2098
2022-12-06,159.869995,170.36858
2022-12-07,161.199997,169.48688
2022-12-08,171.690002,166.86171
2022-12-09,170.009995,165.00987
2022-12-12,175.350006,164.69585
2022-12-13,180.720001,168.69653
2022-12-14,176.740005,173.94708
2022-12-15,169.520004,175.26982
2022-12-16,165.710007,177.63661
2022-12-19,162.539993,176.96591
2022-12-20,160.850006,172.13232
2022-12-21,165.009995,167.34535
2022-12-22,153.389999,164.54819
2022-12-23,152.059998,162.40654
2022-12-27,141.210007,160.41211
2022-12-28,140.360001,157.48106
2022-12-29,146.029999,150.26582
2022-12-30,146.139999,146.80623
2023-01-03,143.149994,142.91801
2023-01-04,147.490005,144.12413
2023-01-05,142.649994,146.27002
2023-01-06,148.589996,145.94409
2023-01-09,156.279999,145.81636
2023-01-10,159.089996,148.04492
2023-01-11,160.009995,149.45218
2023-01-12,165.110001,154.99777
2023-01-13,168.990005,159.80948
2023-01-17,177.020004,162.76053
2023-01-18,173.770004,166.00851
2023-01-19,167.649994,170.32965
2023-01-20,178.389999,173.49927
2023-01-23,191.929993,176.08968
2023-01-24,192.649994,176.09111
2023-01-25,193.229996,179.28337
2023-01-26,198.020004,188.08388
2023-01-27,203.649994,194.58243
2023-01-30,191.619995,196.09624
2023-01-31,195.369995,197.80336
2023-02-01,209.429993,199.9533
2023-02-02,217.089996,200.85344
2023-02-03,211.0,200.06523
2023-02-06,210.889999,206.55946
2023-02-07,221.729996,213.68791
2023-02-08,222.050003,215.95517
2023-02-09,223.369995,215.4566
2023-02-10,212.649994,218.43312
2023-02-13,217.880005,222.3262
2023-02-14,229.710007,221.6922
2023-02-15,227.639999,221.03586
2023-02-16,220.020004,219.9549
2023-02-17,213.880005,224.26364
2023-02-21,206.550003,226.34052
2023-02-22,207.539993,221.64732
2023-02-23,236.639999,216.34926
2023-02-24,232.860001,214.35052
2023-02-27,235.009995,216.59654
2023-02-28,232.160004,224.7972
2023-03-01,226.979996,235.2599
2023-03-02,233.139999,233.59949
2023-03-03,238.899994,233.40817
2023-03-06,235.539993,232.29623
2023-03-07,232.880005,232.6456
2023-03-08,241.809998,236.11308
2023-03-09,234.360001,237.53195
2023-03-10,229.649994,236.2676
2023-03-13,229.660004,236.04486
2023-03-14,240.630005,236.91757
2023-03-15,242.279999,233.63066
2023-03-16,255.410004,234.16359
2023-03-17,257.25,238.6952
2023-03-20,259.0,245.87206
2023-03-21,261.98999,250.65686
2023-03-22,264.679993,256.758
2023-03-23,271.910004,258.81772
2023-03-24,267.790009,261.2101
2023-03-27,265.309998,263.85184
2023-03-28,264.100006,266.84006
2023-03-29,269.839996,267.25565
2023-03-30,273.829987,269.62057
2023-03-31,277.769989,278.11157
2023-04-03,279.649994,275.16833
2023-04-04,274.529999,274.08926
2023-04-05,268.809998,276.70587
2023-04-06,270.369995,277.5624
2023-04-10,275.790009,276.08173
2023-04-11,271.690002,272.85138
2023-04-12,264.950012,271.33688
2023-04-13,264.630005,272.28345
2023-04-14,267.579987,272.2016
2023-04-17,270.019989,268.71716
2023-04-18,276.670013,266.67047
2023-04-19,279.309998,268.4898
2023-04-20,271.040009,271.68094
2023-04-21,271.190002,274.45956
2023-04-24,270.420013,276.57245
2023-04-25,262.410004,274.99234
2023-04-26,269.559998,270.8793
2023-04-27,272.26001,269.95792
2023-04-28,277.48999,268.90298
2023-05-01,289.100006,268.85898
2023-05-02,282.100006,274.46198
2023-05-03,278.019989,278.54706
2023-05-04,275.619995,282.54587
2023-05-05,286.799988,284.73694
2023-05-08,291.51001,281.204
2023-05-09,285.709991,281.03168
2023-05-10,288.850006,283.767
2023-05-11,285.779999,289.0633
2023-05-12,283.399994,289.57764
2023-05-15,289.529999,287.44604
2023-05-16,292.130005,288.03317
2023-05-17,301.779999,287.59906
2023-05-18,316.779999,290.1028
2023-05-19,312.640015,296.41946
2023-05-22,311.76001,302.73093
2023-05-23,306.880005,310.35004
2023-05-24,305.380005,314.865
2023-05-25,379.799988,313.74994
2023-05-26,389.459991,318.39227
2023-05-30,401.109985,330.56003
2023-05-31,378.339996,354.37473
2023-06-01,397.700012,389.4617
2023-06-02,393.269989,394.4722
2023-06-05,391.709991,395.7014
2023-06-06,386.540009,390.76105
2023-06-07,374.75,396.5916
2023-06-08,385.100006,392.53937
2023-06-09,387.700012,389.1606
2023-06-12,394.820007,385.7465
2023-06-13,410.220001,385.34882
2023-06-14,429.970001,393.68994
2023-06-15,426.529999,401.3888
2023-06-16,426.920013,412.3289
2023-06-20,438.079987,424.45093
2023-06-21,430.450012,432.62692
2023-06-22,430.25,432.65063
2023-06-23,422.089996,434.5237
2023-06-26,406.320007,435.7864
2023-06-27,418.76001,429.94836
2023-06-28,411.170013,425.44278
2023-06-29,408.220001,418.8029
2023-06-30,423.019989,414.5927
2023-07-03,424.130005,418.38278
2023-07-05,423.170013,417.06683
2023-07-06,421.029999,420.30676
2023-07-07,425.029999,426.63812
2023-07-10,421.799988,426.69742
2023-07-11,424.049988,426.15683
2023-07-12,439.019989,426.45074
2023-07-13,459.769989,429.4578
2023-07-14,454.690002,433.2058
2023-07-17,464.609985,442.24258
2023-07-18,474.940002,454.98254
2023-07-19,470.769989,464.82922
2023-07-20,455.200012,466.75916
2023-07-21,443.089996,471.55844
2023-07-24,446.119995,470.82877
2023-07-25,456.790009,462.76477
2023-07-26,454.519989,454.02338
2023-07-27,459.0,451.6898
2023-07-28,467.5,456.36096
2023-07-31,467.290009,461.74637
2023-08-01,465.070007,463.6047
2023-08-02,442.690002,467.20233
2023-08-03,445.149994,468.3997
2023-08-04,446.799988,463.82184
2023-08-07,454.170013,456.99594
2023-08-08,446.640015,449.0464
2023-08-09,425.540009,450.70172
2023-08-10,423.880005,450.31522
2023-08-11,408.549988,446.77332
2023-08-14,437.529999,436.39917
2023-08-15,439.399994,426.79282
2023-08-16,434.859985,426.85114
2023-08-17,433.440002,428.94016
2023-08-18,432.98999,440.77478
2023-08-21,469.670013,440.8764
2023-08-22,456.679993,441.35437
2023-08-23,471.160004,446.5657
2023-08-24,471.630005,456.25507
2023-08-25,460.179993,470.21597
2023-08-28,468.350006,468.35724
2023-08-29,487.839996,473.7379
2023-08-30,492.640015,473.8661
2023-08-31,493.549988,475.50177
2023-09-01,485.089996,485.48468
2023-09-05,485.480011,494.52692
2023-09-06,470.609985,494.90848
2023-09-07,462.410004,491.3107
2023-09-08,455.720001,484.25708
2023-09-11,451.779999,477.7967
2023-09-12,448.700012,467.44186
2023-09-13,454.850006,461.16138
2023-09-14,455.809998,457.1716
2023-09-15,439.0,455.3558
2023-09-18,439.660004,454.60052
2023-09-19,435.200012,454.3496
2023-09-20,422.390015,449.1244
2023-09-21,410.170013,439.95898
2023-09-22,416.100006,435.6438
2023-09-25,422.220001,428.38397
2023-09-26,419.109985,420.85602
2023-09-27,424.679993,418.4505
2023-09-28,430.890015,422.87573
2023-09-29,434.98999,426.2084
2023-10-02,447.820007,428.3954
2023-10-03,435.170013,434.15625
2023-10-04,440.410004,439.37103
2023-10-05,446.880005,443.25745
2023-10-06,457.619995,446.7067
2023-10-09,452.730011,444.9377
2023-10-10,457.980011,450.75278
2023-10-11,468.059998,456.52637
2023-10-12,469.450012,461.48187
2023-10-13,454.609985,462.56296
2023-10-16,460.950012,466.89203
2023-10-17,439.380005,468.8302
2023-10-18,421.959991,463.78128
2023-10-19,421.01001,453.9171
2023-10-20,413.869995,446.70056
2023-10-23,429.75,432.00262
2023-10-24,436.630005,424.6334
2023-10-25,417.790009,425.11072
2023-10-26,403.26001,426.05112
2023-10-27,405.0,430.14294
2023-10-30,411.609985,425.09647
2023-10-31,407.799988,413.58414
2023-11-01,423.25,409.23196
2023-11-02,435.059998,412.9237
2023-11-03,450.049988,418.84454
2023-11-06,457.51001,425.5388
2023-11-07,459.549988,439.05728
2023-11-08,465.73999,450.23236
2023-11-09,469.5,459.8023
2023-11-10,483.350006,465.38623
2023-11-13,486.200012,470.08316
2023-11-14,496.559998,476.8707
2023-11-15,488.880005,483.81845
2023-11-16,494.799988,491.85593
2023-11-17,492.980011,495.21124
2023-11-20,504.089996,498.485
2023-11-21,499.440002,497.55435
2023-11-22,487.160004,500.78775
2023-11-24,477.76001,501.1476
2023-11-27,482.420013,501.4729
2023-11-28,478.209991,494.45163
2023-11-29,481.399994,487.05804
2023-11-30,467.700012,483.64798
2023-12-01,467.649994,483.72107
2023-12-04,455.100006,480.06378
2023-12-05,465.660004,476.48102
2023-12-06,455.029999,469.06055
2023-12-07,465.959991,466.57306
2023-12-08,475.059998,463.70352
2023-12-11,466.269989,467.5495
2023-12-12,476.570007,467.4945
2023-12-13,480.880005,474.2296
2023-12-14,483.5,477.76953
2023-12-15,488.899994,478.30844
2023-12-18,500.769989,485.19553
2023-12-19,496.040009,489.70038
2023-12-20,481.109985,493.7642
2023-12-21,489.899994,497.61285
2023-12-22,488.299988,499.19272
2023-12-26,492.790009,494.34488
2023-12-27,494.170013,490.83792
2023-12-28,495.220001,495.02133
2023-12-29,495.220001,496.0325
2024-01-02,481.679993,498.16037
2024-01-03,475.690002,497.69577
2024-01-04,479.980011,495.2483
2024-01-05,490.970001,490.79178
2024-01-08,522.530029,485.9127
2024-01-09,531.400024,489.7203
2024-01-10,543.5,501.67874
2024-01-11,548.219971,518.4941
2024-01-12,547.099976,536.9028
2024-01-16,563.820007,545.3896
2024-01-17,560.530029,553.00775
2024-01-18,571.070007,557.66797
2024-01-19,594.909973,563.1109
2024-01-22,596.539978,573.13257
2024-01-23,598.72998,579.40906
2024-01-24,613.619995,591.6636
2024-01-25,616.169983,603.73346
2024-01-26,610.309998,607.80475
2024-01-29,624.650024,613.3904
2024-01-30,627.73999,620.5225
2024-01-31,615.27002,622.37866
2024-02-01,630.27002,624.02924
2024-02-02,661.599976,630.68646
2024-02-05,693.320007,634.58026
2024-02-06,682.22998,641.97577
2024-02-07,700.98999,662.36365
2024-02-08,696.409973,683.6907
2024-02-09,721.330017,696.8098
2024-02-12,722.47998,699.1077
2024-02-13,721.280029,709.7544
2024-02-14,739.0,715.5901
2024-02-15,726.580017,726.7941
2024-02-16,726.130005,728.9416
2024-02-20,694.52002,730.4725
2024-02-21,674.719971,730.6991
2024-02-22,785.380005,721.25397
2024-02-23,788.169983,718.1289
2024-02-26,790.919983,719.6905
2024-02-27,787.01001,743.8266
2024-02-28,776.630005,787.6382
2024-02-29,791.119995,788.3084
2024-03-01,822.789978,788.505
2024-03-04,852.369995,789.96185
2024-03-05,859.640015,797.99475
2024-03-06,887.0,818.49854
2024-03-07,926.690002,842.89575
2024-03-08,875.280029,862.37
2024-03-11,857.73999,874.3366
2024-03-12,919.130005,886.5798
2024-03-13,908.880005,889.3477
2024-03-14,879.440002,874.29706
2024-03-15,878.369995,880.0425
2024-03-18,884.549988,895.14404
2024-03-19,893.97998,884.19354
2024-03-20,903.719971,875.0479
2024-03-21,914.349976,878.8426
2024-03-22,942.890015,886.68225
2024-03-25,950.02002,896.78876
2024-03-26,925.609985,907.6514
2024-03-27,902.5,917.5893
2024-03-28,903.559998,917.5893
